t,theta,length,start_angle
0.0,0.303,0.29,0.303
0.03337,0.295,0.29,0.303
0.06673,0.282,0.29,0.303
0.1,0.249,0.29,0.303
0.133,0.216,0.29,0.303
0.167,0.173,0.29,0.303
0.2,0.117,0.29,0.303
0.234,0.0602,0.29,0.303
0.267,0.004299,0.29,0.303
0.3,-0.05647,0.29,0.303
0.334,-0.116,0.29,0.303
0.367,-0.17,0.29,0.303
0.4,-0.219,0.29,0.303
0.434,-0.252,0.29,0.303
0.467,-0.283,0.29,0.303
0.501,-0.29,0.29,0.303
0.534,-0.301,0.29,0.303
0.567,-0.298,0.29,0.303
0.601,-0.286,0.29,0.303
0.634,-0.253,0.29,0.303
0.667,-0.215,0.29,0.303
0.701,-0.186,0.29,0.303
0.734,-0.128,0.29,0.303
0.767,-0.07351,0.29,0.303
0.801,-0.02129,0.29,0.303
0.834,0.04138,0.29,0.303
0.868,0.09368,0.29,0.303
0.901,0.146,0.29,0.303
0.934,0.196,0.29,0.303
0.968,0.226,0.29,0.303
1.001,0.262,0.29,0.303
1.034,0.291,0.29,0.303
1.068,0.302,0.29,0.303
1.101,0.303,0.29,0.303
1.134,0.281,0.29,0.303
1.168,0.263,0.29,0.303
1.201,0.229,0.29,0.303
1.235,0.184,0.29,0.303
1.268,0.139,0.29,0.303
1.301,0.08414,0.29,0.303
1.335,0.02514,0.29,0.303
1.368,-0.03149,0.29,0.303
1.401,-0.08849,0.29,0.303
1.435,-0.141,0.29,0.303
1.468,-0.188,0.29,0.303
1.502,-0.233,0.29,0.303
1.535,-0.261,0.29,0.303
1.568,-0.284,0.29,0.303
1.602,-0.295,0.29,0.303
1.635,-0.303,0.29,0.303
1.668,-0.29,0.29,0.303
1.702,-0.275,0.29,0.303
1.735,-0.242,0.29,0.303
1.768,-0.2,0.29,0.303
1.802,-0.159,0.29,0.303
1.835,-0.109,0.29,0.303
1.869,-0.05839,0.29,0.303
1.902,-0.002992,0.29,0.303
1.935,0.04968,0.29,0.303
1.969,0.103,0.29,0.303
2.002,0.156,0.29,0.303
2.035,0.202,0.29,0.303
2.069,0.231,0.29,0.303
2.102,0.266,0.29,0.303
2.135,0.279,0.29,0.303
2.169,0.292,0.29,0.303
2.202,0.283,0.29,0.303
2.236,0.27,0.29,0.303
2.269,0.237,0.29,0.303
2.302,0.201,0.29,0.303
2.336,0.159,0.29,0.303
2.369,0.109,0.29,0.303
2.402,0.0565,0.29,0.303
2.436,-0.000593,0.29,0.303
2.469,-0.05506,0.29,0.303
2.503,-0.11,0.29,0.303
2.536,-0.16,0.29,0.303
2.569,-0.198,0.29,0.303
2.603,-0.243,0.29,0.303
2.636,-0.265,0.29,0.303
2.669,-0.283,0.29,0.303
2.703,-0.29,0.29,0.303
2.736,-0.284,0.29,0.303
2.769,-0.273,0.29,0.303
2.803,-0.248,0.29,0.303
2.836,-0.214,0.29,0.303
2.87,-0.166,0.29,0.303
2.903,-0.128,0.29,0.303
2.936,-0.07434,0.29,0.303
2.97,-0.01882,0.29,0.303
3.003,0.03943,0.29,0.303
3.036,0.08953,0.29,0.303
3.07,0.137,0.29,0.303
3.103,0.185,0.29,0.303
3.136,0.214,0.29,0.303
3.17,0.243,0.29,0.303
3.203,0.27,0.29,0.303
3.237,0.271,0.29,0.303
3.27,0.279,0.29,0.303
3.303,0.268,0.29,0.303
3.337,0.25,0.29,0.303
3.37,0.203,0.29,0.303
3.403,0.18,0.29,0.303
3.437,0.12,0.29,0.303
3.47,0.0795,0.29,0.303
3.504,0.01991,0.29,0.303
3.537,-0.03412,0.29,0.303
3.57,-0.07302,0.29,0.303
3.604,-0.128,0.29,0.303
3.637,-0.175,0.29,0.303
3.67,-0.215,0.29,0.303
3.704,-0.244,0.29,0.303
3.737,-0.263,0.29,0.303
3.77,-0.274,0.29,0.303
3.804,-0.282,0.29,0.303
3.837,-0.276,0.29,0.303
3.871,-0.251,0.29,0.303
3.904,-0.224,0.29,0.303
3.937,-0.183,0.29,0.303
3.971,-0.148,0.29,0.303
4.004,-0.106,0.29,0.303
4.037,-0.05028,0.29,0.303
4.071,0.01023,0.29,0.303
4.104,0.05198,0.29,0.303
4.137,0.112,0.29,0.303
4.171,0.149,0.29,0.303
4.204,0.189,0.29,0.303
4.238,0.214,0.29,0.303
4.271,0.242,0.29,0.303
4.304,0.261,0.29,0.303
4.338,0.262,0.29,0.303
4.371,0.262,0.29,0.303
4.404,0.248,0.29,0.303
4.438,0.224,0.29,0.303
4.471,0.186,0.29,0.303
4.505,0.132,0.29,0.303
4.538,0.09544,0.29,0.303
4.571,0.0463,0.29,0.303
4.605,-0.01351,0.29,0.303
4.638,-0.06542,0.29,0.303
4.671,-0.107,0.29,0.303
4.705,-0.16,0.29,0.303
4.738,-0.195,0.29,0.303
4.771,-0.232,0.29,0.303
4.805,-0.25,0.29,0.303
4.838,-0.274,0.29,0.303
4.872,-0.269,0.29,0.303
4.905,-0.27,0.29,0.303
4.938,-0.253,0.29,0.303
4.972,-0.232,0.29,0.303
5.005,-0.196,0.29,0.303
5.038,-0.156,0.29,0.303
